epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.32686,4.91193,6.71041,3.11724,0,0,0,0,5.29399,9.47414,2.70907,7.5e-05,7.5e-05,7.5e-05
2,9.25967,3.58535,3.79663,2.00332,0.3916,0.21217,0.044,0.0108,2.51423,6.4113,1.19409,0.000161696,0.000161696,0.000161696
3,11.3685,2.36346,2.46155,1.22441,0.4414,0.28989,0.09982,0.03367,2.22576,7.44429,1.13484,0.000247525,0.000247525,0.000247525
4,13.4618,2.20623,2.08042,1.17753,0.04265,0.36383,0.04124,0.01464,2.15115,10.8163,1.08281,0.000332488,0.000332488,0.000332488
5,15.3988,2.12083,1.80907,1.11339,0.09214,0.7598,0.08764,0.03195,2.14635,11.3187,1.07452,0.000416585,0.000416585,0.000416585
6,17.2578,2.12325,1.88655,1.18532,0.13903,0.74606,0.16357,0.05908,2.15877,16.2378,1.0803,0.000499816,0.000499816,0.000499816
7,19.1636,2.01025,1.7038,1.13914,0.14465,0.74636,0.15903,0.06051,2.10579,18.6906,1.06822,0.00058218,0.00058218,0.00058218
8,21.0089,1.97223,1.45079,1.09779,0.1675,0.64189,0.17394,0.06006,2.19567,5.57245,1.09042,0.000663678,0.000663678,0.000663678
9,22.8066,2.0131,1.4447,1.12664,0.12921,0.45567,0.16057,0.05411,2.19452,4.00403,1.07714,0.00074431,0.00074431,0.00074431
10,24.4781,1.99473,1.33951,1.12755,0.17213,0.55291,0.17986,0.06668,2.122,2.48526,1.07139,0.000824076,0.000824076,0.000824076
11,26.1964,2.0449,1.35348,1.08747,0.26165,0.51847,0.24598,0.09036,2.16963,2.37187,1.07867,0.000902975,0.000902975,0.000902975
12,27.9304,1.85808,1.3486,1.09398,0.13289,0.33929,0.18425,0.06917,2.18352,2.22545,1.08145,0.000981008,0.000981008,0.000981008
13,29.5862,2.01759,1.33455,1.15603,0.14679,0.33282,0.16551,0.06242,2.09571,2.22799,1.06363,0.00105817,0.00105817,0.00105817
14,31.2421,1.91818,1.19618,1.08389,0.25595,0.36583,0.2372,0.09665,2.12816,2.04553,1.06415,0.00113448,0.00113448,0.00113448
15,32.9917,1.89308,1.20499,1.0645,0.17045,0.53814,0.21804,0.08103,2.18003,2.26257,1.07361,0.00116337,0.00116337,0.00116337
16,34.6163,1.87973,1.22381,1.0731,0.16001,0.33816,0.16566,0.06319,2.08522,2.47485,1.02731,0.00115719,0.00115719,0.00115719
17,36.2253,1.85875,1.09,1.06112,0.17356,0.28423,0.14144,0.05396,2.12007,2.96009,1.04454,0.001151,0.001151,0.001151
18,37.8826,1.83997,1.11866,1.07958,0.07136,0.63495,0.11288,0.04282,2.18214,3.48999,1.07009,0.00114481,0.00114481,0.00114481
19,39.509,1.79403,1.15087,1.08824,0.06296,0.40662,0.09844,0.03103,2.22253,3.9011,1.08261,0.00113863,0.00113863,0.00113863
20,41.118,1.88537,1.1178,1.0779,0.08507,0.5658,0.15398,0.04895,2.21314,3.47399,1.08982,0.00113244,0.00113244,0.00113244
21,42.6957,1.79669,1.04731,1.04052,0.06623,0.48912,0.13575,0.04686,2.28159,3.38343,1.10235,0.00112625,0.00112625,0.00112625
22,44.336,1.78388,1.01908,1.06362,0.15374,0.3554,0.14366,0.05233,2.14812,2.85483,1.06117,0.00112006,0.00112006,0.00112006
23,45.9606,1.84238,0.98946,1.04165,0.07653,0.53802,0.116,0.03661,2.32136,3.62711,1.09511,0.00111388,0.00111388,0.00111388
24,47.6008,1.82596,0.9969,1.06597,0.14569,0.33186,0.17607,0.06523,2.15132,2.82255,1.05722,0.00110769,0.00110769,0.00110769
25,49.1942,1.76563,0.97969,1.04411,0.19165,0.31738,0.20858,0.07797,2.15516,2.52525,1.05695,0.0011015,0.0011015,0.0011015
26,50.8032,1.81879,0.97086,1.05916,0.20862,0.33621,0.24773,0.09789,2.08536,2.16365,1.03667,0.00109531,0.00109531,0.00109531
27,52.4591,1.76046,0.94882,1.02596,0.16992,0.40319,0.19965,0.07246,2.16993,2.28607,1.05657,0.00108913,0.00108913,0.00108913
28,54.105,1.74282,0.90667,1.05296,0.22403,0.41673,0.19933,0.07757,2.09518,2.24118,1.02986,0.00108294,0.00108294,0.00108294
29,55.6827,1.73702,0.96363,1.04862,0.21901,0.30748,0.2099,0.08317,2.09003,2.26997,1.03929,0.00107675,0.00107675,0.00107675
30,57.2761,1.7074,1.05701,1.05377,0.19124,0.36508,0.19715,0.07703,2.08151,2.82166,1.03951,0.00107056,0.00107056,0.00107056
31,58.8851,1.70793,0.90262,1.02082,0.19201,0.56866,0.21926,0.08087,2.12131,2.68757,1.05788,0.00106437,0.00106437,0.00106437
32,60.4941,1.64686,0.88925,1.041,0.13477,0.6811,0.20075,0.07562,2.13175,3.00528,1.04621,0.00105819,0.00105819,0.00105819
33,62.0875,1.62716,0.86204,1.00556,0.13988,0.6811,0.22459,0.08776,2.10355,2.89117,1.04643,0.001052,0.001052,0.001052
34,63.7121,1.66576,0.93084,1.04137,0.16281,0.85269,0.23667,0.0914,2.14885,2.61055,1.0641,0.00104581,0.00104581,0.00104581
35,65.3055,1.74657,0.92139,1.05164,0.13268,0.85993,0.20845,0.07626,2.23268,2.79507,1.06404,0.00103962,0.00103962,0.00103962
36,66.9145,1.72086,0.8707,1.02111,0.22679,0.38968,0.25779,0.10289,2.03028,2.29846,1.03171,0.00103344,0.00103344,0.00103344
37,68.5653,1.6627,0.84463,0.98557,0.26103,0.36421,0.24541,0.09795,2.05651,2.30273,1.04661,0.00102725,0.00102725,0.00102725
38,70.1587,1.67153,0.85831,1.02734,0.13491,0.77354,0.19106,0.07887,2.16068,2.64878,1.05406,0.00102106,0.00102106,0.00102106
39,71.7833,1.6289,0.86769,0.98905,0.19242,0.34801,0.21692,0.08303,2.14177,2.77439,1.04504,0.00101488,0.00101488,0.00101488
40,73.3923,1.54928,0.77263,0.96771,0.1908,0.39597,0.21752,0.08897,2.07149,3.10242,1.03481,0.00100869,0.00100869,0.00100869
41,75.0794,1.59709,0.80153,0.98284,0.20718,0.40647,0.20441,0.07579,2.10576,3.121,1.04129,0.0010025,0.0010025,0.0010025
42,76.7352,1.57131,0.80245,1.02225,0.19535,0.48651,0.19089,0.07315,2.07065,3.30282,1.01989,0.000996313,0.000996313,0.000996313
43,78.3286,1.60298,0.87686,0.98771,0.21538,0.41312,0.19964,0.07366,2.1323,2.78771,1.05382,0.000990125,0.000990125,0.000990125
